=== Chai Coherence Study ===
Host: 192-222-50-185
Date: Thu Jan 22 14:59:18 UTC 2026
GPU: NVIDIA GH200 480GB
CUDA: 
Threads: 1 4 16 32 64
GPU Blocks: 8 16 32 64
Partitions: 0.0 0.1 0.25 0.5 0.75 0.9 1.0
Warmup: 5, Reps: 20

=== Running BS (with partition + GPU blocks sweep) ===
  BS: threads=1, gpu_blocks=8, partition=0.0
  HSTI: threads=16, gpu_blocks=8, partition=0.5
  HSTI: threads=16, gpu_blocks=8, partition=0.75
  HSTI: threads=16, gpu_blocks=8, partition=0.9
  HSTI: threads=16, gpu_blocks=8, partition=1.0
  HSTI: threads=16, gpu_blocks=16, partition=0.0
  HSTI: threads=16, gpu_blocks=16, partition=0.1
  HSTI: threads=16, gpu_blocks=16, partition=0.25
  HSTI: threads=16, gpu_blocks=16, partition=0.5
  HSTI: threads=16, gpu_blocks=16, partition=0.75
  HSTI: threads=16, gpu_blocks=16, partition=0.9
  HSTI: threads=16, gpu_blocks=16, partition=1.0
  HSTI: threads=16, gpu_blocks=32, partition=0.0
  HSTI: threads=16, gpu_blocks=32, partition=0.1
  HSTI: threads=16, gpu_blocks=32, partition=0.25
  HSTI: threads=16, gpu_blocks=32, partition=0.5
  HSTI: threads=16, gpu_blocks=32, partition=0.75
  HSTI: threads=16, gpu_blocks=32, partition=0.9
  HSTI: threads=16, gpu_blocks=32, partition=1.0
  HSTI: threads=16, gpu_blocks=64, partition=0.0
  HSTI: threads=16, gpu_blocks=64, partition=0.1
  HSTI: threads=16, gpu_blocks=64, partition=0.25
  HSTI: threads=16, gpu_blocks=64, partition=0.5
  HSTI: threads=16, gpu_blocks=64, partition=0.75
  HSTI: threads=16, gpu_blocks=64, partition=0.9
  HSTI: threads=16, gpu_blocks=64, partition=1.0
  HSTI: threads=32, gpu_blocks=8, partition=0.0
  HSTI: threads=32, gpu_blocks=8, partition=0.1
  HSTI: threads=32, gpu_blocks=8, partition=0.25
  HSTI: threads=32, gpu_blocks=8, partition=0.5
  HSTI: threads=32, gpu_blocks=8, partition=0.75
  HSTI: threads=32, gpu_blocks=8, partition=0.9
  HSTI: threads=32, gpu_blocks=8, partition=1.0
  HSTI: threads=32, gpu_blocks=16, partition=0.0
  HSTI: threads=32, gpu_blocks=16, partition=0.1
  HSTI: threads=32, gpu_blocks=16, partition=0.25
  HSTI: threads=32, gpu_blocks=16, partition=0.5
  HSTI: threads=32, gpu_blocks=16, partition=0.75
  HSTI: threads=32, gpu_blocks=16, partition=0.9
  HSTI: threads=32, gpu_blocks=16, partition=1.0
  HSTI: threads=32, gpu_blocks=32, partition=0.0
  HSTI: threads=32, gpu_blocks=32, partition=0.1
  HSTI: threads=32, gpu_blocks=32, partition=0.25
  HSTI: threads=32, gpu_blocks=32, partition=0.5
  HSTI: threads=32, gpu_blocks=32, partition=0.75
  HSTI: threads=32, gpu_blocks=32, partition=0.9
  HSTI: threads=32, gpu_blocks=32, partition=1.0
  HSTI: threads=32, gpu_blocks=64, partition=0.0
  HSTI: threads=32, gpu_blocks=64, partition=0.1
  HSTI: threads=32, gpu_blocks=64, partition=0.25
  HSTI: threads=32, gpu_blocks=64, partition=0.5
  HSTI: threads=32, gpu_blocks=64, partition=0.75
  HSTI: threads=32, gpu_blocks=64, partition=0.9
  HSTI: threads=32, gpu_blocks=64, partition=1.0
  HSTI: threads=64, gpu_blocks=8, partition=0.0
  HSTI: threads=64, gpu_blocks=8, partition=0.1
  HSTI: threads=64, gpu_blocks=8, partition=0.25
  HSTI: threads=64, gpu_blocks=8, partition=0.5
  HSTI: threads=64, gpu_blocks=8, partition=0.75
  HSTI: threads=64, gpu_blocks=8, partition=0.9
  HSTI: threads=64, gpu_blocks=8, partition=1.0
  HSTI: threads=64, gpu_blocks=16, partition=0.0
  HSTI: threads=64, gpu_blocks=16, partition=0.1
  HSTI: threads=64, gpu_blocks=16, partition=0.25
  HSTI: threads=64, gpu_blocks=16, partition=0.5
  HSTI: threads=64, gpu_blocks=16, partition=0.75
  HSTI: threads=64, gpu_blocks=16, partition=0.9
  HSTI: threads=64, gpu_blocks=16, partition=1.0
  HSTI: threads=64, gpu_blocks=32, partition=0.0
  HSTI: threads=64, gpu_blocks=32, partition=0.1
  HSTI: threads=64, gpu_blocks=32, partition=0.25
  HSTI: threads=64, gpu_blocks=32, partition=0.5
  HSTI: threads=64, gpu_blocks=32, partition=0.75
  HSTI: threads=64, gpu_blocks=32, partition=0.9
  HSTI: threads=64, gpu_blocks=32, partition=1.0
  HSTI: threads=64, gpu_blocks=64, partition=0.0
  HSTI: threads=64, gpu_blocks=64, partition=0.1
  HSTI: threads=64, gpu_blocks=64, partition=0.25
  HSTI: threads=64, gpu_blocks=64, partition=0.5
  HSTI: threads=64, gpu_blocks=64, partition=0.75
  HSTI: threads=64, gpu_blocks=64, partition=0.9
  HSTI: threads=64, gpu_blocks=64, partition=1.0
  Results saved to results_192-222-50-185_20260122_145918/HSTI_results.csv
=== Running HSTO (with partition + GPU blocks sweep) ===
  HSTO: threads=1, gpu_blocks=8, partition=0.0
  HSTO: threads=1, gpu_blocks=8, partition=0.1
  HSTO: threads=1, gpu_blocks=8, partition=0.25
  HSTO: threads=1, gpu_blocks=8, partition=0.5
  HSTO: threads=1, gpu_blocks=8, partition=0.75
  HSTO: threads=1, gpu_blocks=8, partition=0.9
  HSTO: threads=1, gpu_blocks=8, partition=1.0
  HSTO: threads=1, gpu_blocks=16, partition=0.0
  HSTO: threads=1, gpu_blocks=16, partition=0.1
  HSTO: threads=1, gpu_blocks=16, partition=0.25
  HSTO: threads=1, gpu_blocks=16, partition=0.5
  HSTO: threads=1, gpu_blocks=16, partition=0.75
  HSTO: threads=1, gpu_blocks=16, partition=0.9
  HSTO: threads=1, gpu_blocks=16, partition=1.0
  HSTO: threads=1, gpu_blocks=32, partition=0.0
  HSTO: threads=1, gpu_blocks=32, partition=0.1
  HSTO: threads=1, gpu_blocks=32, partition=0.25
  HSTO: threads=1, gpu_blocks=32, partition=0.5
  HSTO: threads=1, gpu_blocks=32, partition=0.75
  HSTO: threads=1, gpu_blocks=32, partition=0.9
  HSTO: threads=1, gpu_blocks=32, partition=1.0
  HSTO: threads=1, gpu_blocks=64, partition=0.0
  HSTO: threads=1, gpu_blocks=64, partition=0.1
  HSTO: threads=1, gpu_blocks=64, partition=0.25
  HSTO: threads=1, gpu_blocks=64, partition=0.5
  HSTO: threads=1, gpu_blocks=64, partition=0.75
  HSTO: threads=1, gpu_blocks=64, partition=0.9
  HSTO: threads=1, gpu_blocks=64, partition=1.0
  HSTO: threads=4, gpu_blocks=8, partition=0.0
  HSTO: threads=4, gpu_blocks=8, partition=0.1
  HSTO: threads=4, gpu_blocks=8, partition=0.25
  HSTO: threads=4, gpu_blocks=8, partition=0.5
  HSTO: threads=4, gpu_blocks=8, partition=0.75
  HSTO: threads=4, gpu_blocks=8, partition=0.9
  HSTO: threads=4, gpu_blocks=8, partition=1.0
  HSTO: threads=4, gpu_blocks=16, partition=0.0
  HSTO: threads=4, gpu_blocks=16, partition=0.1
  HSTO: threads=4, gpu_blocks=16, partition=0.25
  HSTO: threads=4, gpu_blocks=16, partition=0.5
  HSTO: threads=4, gpu_blocks=16, partition=0.75
  HSTO: threads=4, gpu_blocks=16, partition=0.9
  HSTO: threads=4, gpu_blocks=16, partition=1.0
  HSTO: threads=4, gpu_blocks=32, partition=0.0
  HSTO: threads=4, gpu_blocks=32, partition=0.1
  HSTO: threads=4, gpu_blocks=32, partition=0.25
  HSTO: threads=4, gpu_blocks=32, partition=0.5
  HSTO: threads=4, gpu_blocks=32, partition=0.75
  HSTO: threads=4, gpu_blocks=32, partition=0.9
  HSTO: threads=4, gpu_blocks=32, partition=1.0
  HSTO: threads=4, gpu_blocks=64, partition=0.0
  HSTO: threads=4, gpu_blocks=64, partition=0.1
  HSTO: threads=4, gpu_blocks=64, partition=0.25
  HSTO: threads=4, gpu_blocks=64, partition=0.5
  HSTO: threads=4, gpu_blocks=64, partition=0.75
  HSTO: threads=4, gpu_blocks=64, partition=0.9
  HSTO: threads=4, gpu_blocks=64, partition=1.0
  HSTO: threads=16, gpu_blocks=8, partition=0.0
  HSTO: threads=16, gpu_blocks=8, partition=0.1
  HSTO: threads=16, gpu_blocks=8, partition=0.25
  HSTO: threads=16, gpu_blocks=8, partition=0.5
  HSTO: threads=16, gpu_blocks=8, partition=0.75
  HSTO: threads=16, gpu_blocks=8, partition=0.9
  HSTO: threads=16, gpu_blocks=8, partition=1.0
  HSTO: threads=16, gpu_blocks=16, partition=0.0
  HSTO: threads=16, gpu_blocks=16, partition=0.1
  HSTO: threads=16, gpu_blocks=16, partition=0.25
  HSTO: threads=16, gpu_blocks=16, partition=0.5
  HSTO: threads=16, gpu_blocks=16, partition=0.75
  HSTO: threads=16, gpu_blocks=16, partition=0.9
  HSTO: threads=16, gpu_blocks=16, partition=1.0
  HSTO: threads=16, gpu_blocks=32, partition=0.0
  HSTO: threads=16, gpu_blocks=32, partition=0.1
  HSTO: threads=16, gpu_blocks=32, partition=0.25
  HSTO: threads=16, gpu_blocks=32, partition=0.5
  HSTO: threads=16, gpu_blocks=32, partition=0.75
  HSTO: threads=16, gpu_blocks=32, partition=0.9
  HSTO: threads=16, gpu_blocks=32, partition=1.0
  HSTO: threads=16, gpu_blocks=64, partition=0.0
  HSTO: threads=16, gpu_blocks=64, partition=0.1
  HSTO: threads=16, gpu_blocks=64, partition=0.25
  HSTO: threads=16, gpu_blocks=64, partition=0.5
  HSTO: threads=16, gpu_blocks=64, partition=0.75
  HSTO: threads=16, gpu_blocks=64, partition=0.9
  HSTO: threads=16, gpu_blocks=64, partition=1.0
  HSTO: threads=32, gpu_blocks=8, partition=0.0
  HSTO: threads=32, gpu_blocks=8, partition=0.1
  HSTO: threads=32, gpu_blocks=8, partition=0.25
  HSTO: threads=32, gpu_blocks=8, partition=0.5
  HSTO: threads=32, gpu_blocks=8, partition=0.75
  HSTO: threads=32, gpu_blocks=8, partition=0.9
  HSTO: threads=32, gpu_blocks=8, partition=1.0
  HSTO: threads=32, gpu_blocks=16, partition=0.0
  HSTO: threads=32, gpu_blocks=16, partition=0.1
  HSTO: threads=32, gpu_blocks=16, partition=0.25
  HSTO: threads=32, gpu_blocks=16, partition=0.5
  HSTO: threads=32, gpu_blocks=16, partition=0.75
  HSTO: threads=32, gpu_blocks=16, partition=0.9
  HSTO: threads=32, gpu_blocks=16, partition=1.0
  HSTO: threads=32, gpu_blocks=32, partition=0.0
  HSTO: threads=32, gpu_blocks=32, partition=0.1
  HSTO: threads=32, gpu_blocks=32, partition=0.25
  HSTO: threads=32, gpu_blocks=32, partition=0.5
  HSTO: threads=32, gpu_blocks=32, partition=0.75
  HSTO: threads=32, gpu_blocks=32, partition=0.9
  HSTO: threads=32, gpu_blocks=32, partition=1.0
  HSTO: threads=32, gpu_blocks=64, partition=0.0
  HSTO: threads=32, gpu_blocks=64, partition=0.1
  HSTO: threads=32, gpu_blocks=64, partition=0.25
  HSTO: threads=32, gpu_blocks=64, partition=0.5
  HSTO: threads=32, gpu_blocks=64, partition=0.75
  HSTO: threads=32, gpu_blocks=64, partition=0.9
  HSTO: threads=32, gpu_blocks=64, partition=1.0
  HSTO: threads=64, gpu_blocks=8, partition=0.0
  HSTO: threads=64, gpu_blocks=8, partition=0.1
  HSTO: threads=64, gpu_blocks=8, partition=0.25
  HSTO: threads=64, gpu_blocks=8, partition=0.5
  HSTO: threads=64, gpu_blocks=8, partition=0.75
  HSTO: threads=64, gpu_blocks=8, partition=0.9
  HSTO: threads=64, gpu_blocks=8, partition=1.0
  HSTO: threads=64, gpu_blocks=16, partition=0.0
  HSTO: threads=64, gpu_blocks=16, partition=0.1
  HSTO: threads=64, gpu_blocks=16, partition=0.25
  HSTO: threads=64, gpu_blocks=16, partition=0.5
  HSTO: threads=64, gpu_blocks=16, partition=0.75
  HSTO: threads=64, gpu_blocks=16, partition=0.9
  HSTO: threads=64, gpu_blocks=16, partition=1.0
  HSTO: threads=64, gpu_blocks=32, partition=0.0
  HSTO: threads=64, gpu_blocks=32, partition=0.1
  HSTO: threads=64, gpu_blocks=32, partition=0.25
  HSTO: threads=64, gpu_blocks=32, partition=0.5
  HSTO: threads=64, gpu_blocks=32, partition=0.75
  HSTO: threads=64, gpu_blocks=32, partition=0.9
  HSTO: threads=64, gpu_blocks=32, partition=1.0
  HSTO: threads=64, gpu_blocks=64, partition=0.0
  HSTO: threads=64, gpu_blocks=64, partition=0.1
  HSTO: threads=64, gpu_blocks=64, partition=0.25
  HSTO: threads=64, gpu_blocks=64, partition=0.5
  HSTO: threads=64, gpu_blocks=64, partition=0.75
  HSTO: threads=64, gpu_blocks=64, partition=0.9
  HSTO: threads=64, gpu_blocks=64, partition=1.0
  Results saved to results_192-222-50-185_20260122_145918/HSTO_results.csv
=== Running PAD (with partition + GPU blocks sweep) ===
  PAD: threads=1, gpu_blocks=8, partition=0.0
  PAD: threads=1, gpu_blocks=8, partition=0.1
  PAD: threads=1, gpu_blocks=8, partition=0.25
  PAD: threads=1, gpu_blocks=8, partition=0.5
  PAD: threads=1, gpu_blocks=8, partition=0.75
  PAD: threads=1, gpu_blocks=8, partition=0.9
  PAD: threads=1, gpu_blocks=8, partition=1.0
  PAD: threads=1, gpu_blocks=16, partition=0.0
  PAD: threads=1, gpu_blocks=16, partition=0.1
  PAD: threads=1, gpu_blocks=16, partition=0.25
  PAD: threads=1, gpu_blocks=16, partition=0.5
  PAD: threads=1, gpu_blocks=16, partition=0.75
  PAD: threads=1, gpu_blocks=16, partition=0.9
  PAD: threads=1, gpu_blocks=16, partition=1.0
  PAD: threads=1, gpu_blocks=32, partition=0.0
  PAD: threads=1, gpu_blocks=32, partition=0.1
  PAD: threads=1, gpu_blocks=32, partition=0.25
  PAD: threads=1, gpu_blocks=32, partition=0.5
  PAD: threads=1, gpu_blocks=32, partition=0.75
  PAD: threads=1, gpu_blocks=32, partition=0.9
  PAD: threads=1, gpu_blocks=32, partition=1.0
  PAD: threads=1, gpu_blocks=64, partition=0.0
  PAD: threads=1, gpu_blocks=64, partition=0.1
  PAD: threads=1, gpu_blocks=64, partition=0.25
  PAD: threads=1, gpu_blocks=64, partition=0.5
  PAD: threads=1, gpu_blocks=64, partition=0.75
  PAD: threads=1, gpu_blocks=64, partition=0.9
  PAD: threads=1, gpu_blocks=64, partition=1.0
  PAD: threads=4, gpu_blocks=8, partition=0.0
  PAD: threads=4, gpu_blocks=8, partition=0.1
  PAD: threads=4, gpu_blocks=8, partition=0.25
  PAD: threads=4, gpu_blocks=8, partition=0.5
  PAD: threads=4, gpu_blocks=8, partition=0.75
  PAD: threads=4, gpu_blocks=8, partition=0.9
  PAD: threads=4, gpu_blocks=8, partition=1.0
  PAD: threads=4, gpu_blocks=16, partition=0.0
  PAD: threads=4, gpu_blocks=16, partition=0.1
  PAD: threads=4, gpu_blocks=16, partition=0.25
  PAD: threads=4, gpu_blocks=16, partition=0.5
  PAD: threads=4, gpu_blocks=16, partition=0.75
  PAD: threads=4, gpu_blocks=16, partition=0.9
  PAD: threads=4, gpu_blocks=16, partition=1.0
  PAD: threads=4, gpu_blocks=32, partition=0.0
  PAD: threads=4, gpu_blocks=32, partition=0.1
  PAD: threads=4, gpu_blocks=32, partition=0.25
  PAD: threads=4, gpu_blocks=32, partition=0.5
  PAD: threads=4, gpu_blocks=32, partition=0.75
  PAD: threads=4, gpu_blocks=32, partition=0.9
  PAD: threads=4, gpu_blocks=32, partition=1.0
  PAD: threads=4, gpu_blocks=64, partition=0.0
  PAD: threads=4, gpu_blocks=64, partition=0.1
  PAD: threads=4, gpu_blocks=64, partition=0.25
  PAD: threads=4, gpu_blocks=64, partition=0.5
  PAD: threads=4, gpu_blocks=64, partition=0.75
  PAD: threads=4, gpu_blocks=64, partition=0.9
  PAD: threads=4, gpu_blocks=64, partition=1.0
  PAD: threads=16, gpu_blocks=8, partition=0.0
  PAD: threads=16, gpu_blocks=8, partition=0.1
  PAD: threads=16, gpu_blocks=8, partition=0.25
  PAD: threads=16, gpu_blocks=8, partition=0.5
  PAD: threads=16, gpu_blocks=8, partition=0.75
  PAD: threads=16, gpu_blocks=8, partition=0.9
  PAD: threads=16, gpu_blocks=8, partition=1.0
  PAD: threads=16, gpu_blocks=16, partition=0.0
  PAD: threads=16, gpu_blocks=16, partition=0.1
  PAD: threads=16, gpu_blocks=16, partition=0.25
  PAD: threads=16, gpu_blocks=16, partition=0.5
  PAD: threads=16, gpu_blocks=16, partition=0.75
  PAD: threads=16, gpu_blocks=16, partition=0.9
  PAD: threads=16, gpu_blocks=16, partition=1.0
  PAD: threads=16, gpu_blocks=32, partition=0.0
  PAD: threads=16, gpu_blocks=32, partition=0.1
